RUN	com.testingexcellence.simulations.CreateSimulation	createsimulation	1559220230744	 	3.1.2
USER	Cenários de Testes Funcionais Conector X0	125	START	1559220232620	1559220232620
USER	Cenários de Testes Funcionais Conector X0	126	START	1559220232621	1559220232621
USER	Cenários de Testes Funcionais Conector X0	127	START	1559220232622	1559220232622
USER	Cenários de Testes Funcionais Conector X0	128	START	1559220232624	1559220232624
USER	Cenários de Testes Funcionais Conector X0	129	START	1559220232626	1559220232626
USER	Cenários de Testes Funcionais Conector X0	130	START	1559220232627	1559220232627
USER	Cenários de Testes Funcionais Conector X0	131	START	1559220232629	1559220232629
USER	Cenários de Testes Funcionais Conector X0	132	START	1559220232630	1559220232630
USER	Cenários de Testes Funcionais Conector X0	133	START	1559220232631	1559220232631
USER	Cenários de Testes Funcionais Conector X0	134	START	1559220232632	1559220232632
USER	Cenários de Testes Funcionais Conector X0	101	START	1559220232598	1559220232598
USER	Cenários de Testes Funcionais Conector IMS	61	START	1559220232574	1559220232574
USER	Cenários de Testes Funcionais Conector X0	138	START	1559220232667	1559220232667
USER	Cenários de Testes Funcionais Conector X0	139	START	1559220232668	1559220232668
USER	Cenários de Testes Funcionais Conector IMS	60	START	1559220232573	1559220232573
USER	Cenários de Testes Funcionais Conector X0	141	START	1559220232670	1559220232670
USER	Cenários de Testes Funcionais Conector X0	142	START	1559220232671	1559220232671
USER	Cenários de Testes Funcionais Conector X0	143	START	1559220232672	1559220232672
USER	Cenários de Testes Funcionais Conector X0	144	START	1559220232673	1559220232673
USER	Cenários de Testes Funcionais Conector X0	145	START	1559220232674	1559220232674
USER	Cenários de Testes Funcionais Conector X0	140	START	1559220232670	1559220232670
USER	Cenários de Testes Funcionais Conector X0	146	START	1559220232676	1559220232676
USER	Cenários de Testes Funcionais Conector X0	148	START	1559220232676	1559220232676
USER	Cenários de Testes Funcionais Conector IMS	59	START	1559220232569	1559220232569
USER	Cenários de Testes Funcionais Conector X0	150	START	1559220232678	1559220232678
USER	Cenários de Testes Funcionais Conector X0	149	START	1559220232677	1559220232677
USER	Cenários de Testes Funcionais Conector X0	151	START	1559220232678	1559220232678
USER	Cenários de Testes Funcionais Conector X0	152	START	1559220232679	1559220232679
USER	Cenários de Testes Funcionais Conector X0	153	START	1559220232679	1559220232679
USER	Cenários de Testes Funcionais Conector X0	154	START	1559220232680	1559220232680
USER	Cenários de Testes Funcionais Conector X0	155	START	1559220232680	1559220232680
USER	Cenários de Testes Funcionais Conector X0	156	START	1559220232681	1559220232681
USER	Cenários de Testes Funcionais Conector X0	157	START	1559220232681	1559220232681
USER	Cenários de Testes Funcionais Conector X0	159	START	1559220232682	1559220232682
USER	Cenários de Testes Funcionais Conector X0	158	START	1559220232682	1559220232682
USER	Cenários de Testes Funcionais Conector X0	160	START	1559220232682	1559220232682
USER	Cenários de Testes Funcionais Conector X0	161	START	1559220232683	1559220232683
USER	Cenários de Testes Funcionais Conector X0	162	START	1559220232683	1559220232683
USER	Cenários de Testes Funcionais Conector X0	163	START	1559220232684	1559220232684
USER	Cenários de Testes Funcionais Conector X0	164	START	1559220232684	1559220232684
USER	Cenários de Testes Funcionais Conector X0	166	START	1559220232685	1559220232685
USER	Cenários de Testes Funcionais Conector X0	165	START	1559220232685	1559220232685
USER	Cenários de Testes Funcionais Conector X0	167	START	1559220232686	1559220232686
USER	Cenários de Testes Funcionais Conector X0	147	START	1559220232676	1559220232676
USER	Cenários de Testes Funcionais Conector X0	170	START	1559220232687	1559220232687
USER	Cenários de Testes Funcionais Conector X0	171	START	1559220232688	1559220232688
USER	Cenários de Testes Funcionais Conector X0	172	START	1559220232689	1559220232689
USER	Cenários de Testes Funcionais Conector X0	173	START	1559220232690	1559220232690
USER	Cenários de Testes Funcionais Conector X0	174	START	1559220232691	1559220232691
USER	Cenários de Testes Funcionais Conector X0	175	START	1559220232692	1559220232692
USER	Cenários de Testes Funcionais Conector X0	176	START	1559220232693	1559220232693
USER	Cenários de Testes Funcionais Conector X0	177	START	1559220232694	1559220232694
USER	Cenários de Testes Funcionais Conector X0	168	START	1559220232686	1559220232686
USER	Cenários de Testes Funcionais Conector X0	178	START	1559220232695	1559220232695
USER	Cenários de Testes Funcionais Conector X0	179	START	1559220232696	1559220232696
USER	Cenários de Testes Funcionais Conector X0	181	START	1559220232696	1559220232696
USER	Cenários de Testes Funcionais Conector IMS	58	START	1559220232568	1559220232568
USER	Cenários de Testes Funcionais Conector X0	182	START	1559220232697	1559220232697
USER	Cenários de Testes Funcionais Conector X0	184	START	1559220232698	1559220232698
USER	Cenários de Testes Funcionais Conector X0	183	START	1559220232698	1559220232698
USER	Cenários de Testes Funcionais Conector X0	185	START	1559220232699	1559220232699
USER	Cenários de Testes Funcionais Conector X0	187	START	1559220232700	1559220232700
USER	Cenários de Testes Funcionais Conector X0	188	START	1559220232701	1559220232701
USER	Cenários de Testes Funcionais Conector X0	189	START	1559220232710	1559220232710
USER	Cenários de Testes Funcionais Conector X0	190	START	1559220232712	1559220232712
USER	Cenários de Testes Funcionais Conector X0	191	START	1559220232713	1559220232713
USER	Cenários de Testes Funcionais Conector X0	192	START	1559220232714	1559220232714
USER	Cenários de Testes Funcionais Conector X0	193	START	1559220232716	1559220232716
USER	Cenários de Testes Funcionais Conector X0	169	START	1559220232687	1559220232687
USER	Cenários de Testes Funcionais Conector X0	195	START	1559220232720	1559220232720
USER	Cenários de Testes Funcionais Conector X0	196	START	1559220232721	1559220232721
USER	Cenários de Testes Funcionais Conector X0	197	START	1559220232722	1559220232722
USER	Cenários de Testes Funcionais Conector X0	194	START	1559220232719	1559220232719
USER	Cenários de Testes Funcionais Conector X0	198	START	1559220232723	1559220232723
USER	Cenários de Testes Funcionais Conector X0	180	START	1559220232696	1559220232696
USER	Cenários de Testes Funcionais Conector X0	200	START	1559220232725	1559220232725
USER	Cenários de Testes Funcionais Conector IMS	57	START	1559220232568	1559220232568
USER	Cenários de Testes Funcionais Conector X0	199	START	1559220232724	1559220232724
USER	Cenários de Testes Funcionais Conector IMS	54	START	1559220232567	1559220232567
USER	Cenários de Testes Funcionais Conector IMS	56	START	1559220232568	1559220232568
USER	Cenários de Testes Funcionais Conector X0	186	START	1559220232699	1559220232699
USER	Cenários de Testes Funcionais Conector X0	137	START	1559220232658	1559220232658
USER	Cenários de Testes Funcionais Conector X0	136	START	1559220232657	1559220232657
USER	Cenários de Testes Funcionais Conector X0	117	START	1559220232613	1559220232613
USER	Cenários de Testes Funcionais Conector X0	135	START	1559220232633	1559220232633
USER	Cenários de Testes Funcionais Conector X0	113	START	1559220232609	1559220232609
REQUEST	10		Conector IMS HttpCode 200	1559220232536	1559220232935	OK	 
REQUEST	2		Conector IMS HttpCode 200	1559220232539	1559220233042	OK	 
REQUEST	46		Conector IMS HttpCode 200	1559220232562	1559220232885	OK	 
REQUEST	18		Conector IMS HttpCode 200	1559220232554	1559220233047	OK	 
REQUEST	6		Conector IMS HttpCode 200	1559220232567	1559220233055	OK	 
REQUEST	5		Conector IMS HttpCode 200	1559220232532	1559220233048	OK	 
REQUEST	26		Conector IMS HttpCode 200	1559220232556	1559220233057	OK	 
REQUEST	70		Conector IMS HttpCode 200	1559220232582	1559220233059	OK	 
REQUEST	13		Conector IMS HttpCode 200	1559220232545	1559220233060	OK	 
REQUEST	34		Conector IMS HttpCode 200	1559220232558	1559220233063	OK	 
REQUEST	62		Conector IMS HttpCode 200	1559220232586	1559220233064	OK	 
REQUEST	42		Conector IMS HttpCode 200	1559220232560	1559220233081	OK	 
REQUEST	50		Conector IMS HttpCode 200	1559220232563	1559220233086	OK	 
REQUEST	78		Conector IMS HttpCode 200	1559220232589	1559220233083	OK	 
